Regional,DDD,ValorTEF,ValorBonus,Validade
CLARO,57,50,8,120
CLARO,57,100,18,180
CLARO,58,13,0,30
CLARO,58,15,0,30
CLARO,58,20,2,60
CLARO,58,30,4,90
CLARO,58,35,5,90
CLARO,58,40,6,90
CLARO,58,50,8,120
CLARO,58,100,18,180
CLARO,59,13,0,30
CLARO,59,15,0,30
CLARO,59,20,2,60
CLARO,59,30,4,90
CLARO,59,35,5,90
CLARO,59,40,6,90
CLARO,59,50,8,120
CLARO,59,100,18,180
AMERICEL,61,13,0,30
AMERICEL,61,15,0,30
AMERICEL,61,20,2,60
AMERICEL,61,30,4,90
AMERICEL,61,35,5,90
AMERICEL,61,40,6,90
AMERICEL,61,50,8,120
AMERICEL,61,100,18,180
AMERICEL,62,13,0,30
AMERICEL,62,15,0,30
AMERICEL,62,20,2,60
AMERICEL,62,30,4,90
AMERICEL,62,35,5,90
AMERICEL,62,40,6,90
AMERICEL,62,50,8,120
AMERICEL,62,100,18,180
AMERICEL,63,13,0,30
AMERICEL,63,15,0,30
AMERICEL,63,20,2,60
AMERICEL,63,30,4,90
AMERICEL,63,35,5,90
AMERICEL,63,40,6,90
AMERICEL,63,50,8,120
AMERICEL,63,100,18,180
AMERICEL,64,13,0,30
AMERICEL,64,15,0,30
AMERICEL,64,20,2,60
AMERICEL,64,30,4,90
AMERICEL,64,35,5,90
AMERICEL,64,40,6,90
AMERICEL,64,50,8,120
AMERICEL,64,100,18,180
AMERICEL,65,13,0,30
AMERICEL,65,15,0,30
AMERICEL,65,20,2,60
AMERICEL,65,30,4,90
AMERICEL,65,35,5,90
AMERICEL,65,40,6,90
AMERICEL,65,50,8,120
AMERICEL,65,100,18,180
AMERICEL,66,13,0,30
AMERICEL,66,15,0,30
AMERICEL,66,20,2,60
AMERICEL,66,30,4,90
AMERICEL,66,35,5,90
AMERICEL,66,40,6,90
AMERICEL,66,50,8,120
AMERICEL,66,100,18,180
AMERICEL,67,13,0,30
AMERICEL,67,15,0,30
AMERICEL,67,20,2,60
AMERICEL,67,30,4,90
AMERICEL,67,35,5,90
AMERICEL,67,40,6,90
AMERICEL,67,50,8,120
AMERICEL,67,100,18,180
AMERICEL,68,13,0,30
AMERICEL,68,15,0,30
AMERICEL,68,20,2,60
AMERICEL,68,30,4,90
AMERICEL,68,35,5,90
AMERICEL,68,40,6,90
AMERICEL,68,50,8,120
AMERICEL,68,100,18,180
AMERICEL,69,13,0,30
AMERICEL,69,15,0,30
AMERICEL,69,20,2,60
AMERICEL,69,30,4,90
AMERICEL,69,35,5,90
AMERICEL,69,40,6,90
AMERICEL,69,50,8,120
AMERICEL,69,100,18,180
ATL-BA-SE,71,10,0,30
ATL-BA-SE,71,13,0,30
ATL-BA-SE,71,15,0,30
ATL-BA-SE,71,20,2,60
ATL-BA-SE,71,30,4,90
ATL-BA-SE,71,35,5,90
ATL-BA-SE,71,40,6,90
ATL-BA-SE,71,50,8,120
ATL-BA-SE,71,100,18,180
ATL-BA-SE,73,10,0,30
ATL-BA-SE,73,13,0,30
ATL-BA-SE,73,15,0,30
ATL-BA-SE,73,20,2,60
ATL-BA-SE,73,30,4,90
ATL-BA-SE,73,35,5,90
ATL-BA-SE,73,40,6,90
ATL-BA-SE,73,50,8,120
ATL-BA-SE,73,100,18,180
ATL-BA-SE,74,10,0,30
ATL-BA-SE,74,13,0,30
ATL-BA-SE,74,15,0,30
ATL-BA-SE,74,20,2,60
ATL-BA-SE,74,30,4,90
ATL-BA-SE,74,35,5,90
ATL-BA-SE,74,40,6,90
ATL-BA-SE,74,50,8,120
ATL-BA-SE,74,100,18,180
ATL-BA-SE,75,10,0,30
ATL-BA-SE,75,13,0,30
ATL-BA-SE,75,15,0,30
ATL-BA-SE,75,20,2,60
ATL-BA-SE,75,30,4,90
ATL-BA-SE,75,35,5,90
ATL-BA-SE,75,40,6,90
ATL-BA-SE,75,50,8,120
ATL-BA-SE,75,100,18,180
ATL-BA-SE,77,10,0,30
ATL-BA-SE,77,13,0,30
ATL-BA-SE,77,15,0,30
ATL-BA-SE,77,20,2,60
ATL-BA-SE,77,30,4,90
ATL-BA-SE,77,35,5,90
ATL-BA-SE,77,40,6,90
ATL-BA-SE,77,50,8,120
ATL-BA-SE,77,100,18,180
ATL-BA-SE,79,10,0,30
ATL-BA-SE,79,13,0,30
ATL-BA-SE,79,15,0,30
ATL-BA-SE,79,20,2,60
ATL-BA-SE,79,30,4,90
ATL-BA-SE,79,35,5,90
ATL-BA-SE,79,40,6,90
ATL-BA-SE,79,50,8,120
ATL-BA-SE,79,100,18,180
BSE,81,10,0,30
BSE,81,13,0,30
BSE,81,15,0,30
BSE,81,20,2,60
BSE,81,30,4,90
BSE,81,35,5,90
BSE,81,40,6,90
BSE,81,50,8,120
BSE,81,100,18,180
BSE,82,10,0,30
BSE,82,13,0,30
BSE,82,15,0,30
BSE,82,20,2,60
BSE,82,30,4,90
BSE,82,35,5,90
BSE,82,40,6,90
BSE,82,50,8,120
BSE,82,100,18,180
BSE,83,10,0,30
BSE,83,13,0,30
BSE,83,15,0,30
BSE,83,20,2,60
BSE,83,30,4,90
BSE,83,35,5,90
BSE,83,40,6,90
BSE,83,50,8,120
BSE,83,100,18,180
BSE,84,10,0,30
BSE,84,13,0,30
BSE,84,15,0,30
BSE,84,20,2,60
BSE,84,30,4,90
BSE,84,35,5,90
BSE,84,40,6,90
BSE,84,50,8,120
BSE,84,100,18,180
BSE,85,10,0,30
BSE,85,13,0,30
BSE,85,15,0,30
BSE,85,20,2,60
BSE,85,30,4,90
BSE,85,35,5,90
BSE,85,40,6,90
BSE,85,50,8,120
BSE,85,100,18,180
BSE,86,10,0,30
BSE,86,13,0,30
BSE,86,15,0,30
BSE,86,20,2,60
BSE,86,30,4,90
BSE,86,35,5,90
BSE,86,40,6,90
BSE,86,50,8,120
BSE,86,100,18,180
BSE,87,10,0,30
BSE,87,13,0,30
BSE,87,15,0,30
BSE,87,20,2,60
BSE,87,30,4,90
BSE,87,35,5,90
BSE,87,40,6,90
BSE,87,50,8,120
BSE,87,100,18,180
BSE,88,10,0,30
BSE,88,13,0,30
BSE,88,15,0,30
BSE,88,20,2,60
BSE,88,30,4,90
BSE,88,35,5,90
BSE,88,40,6,90
BSE,88,50,8,120
BSE,88,100,18,180
BSE,89,10,0,30
BSE,89,13,0,30
BSE,89,15,0,30
BSE,89,20,2,60
BSE,89,30,4,90
BSE,89,35,5,90
BSE,89,40,6,90
BSE,89,50,8,120
BSE,89,100,18,180
